symbol,sector,security_type,source_membership
DRI,Consumer Discretionary,common_stock,SP500
EBAY,Consumer Discretionary,common_stock,SP500
EXPE,Consumer Discretionary,common_stock,SP500
GPC,Consumer Discretionary,common_stock,SP500
HAS,Consumer Discretionary,common_stock,SP500
KMX,Consumer Discretionary,common_stock,SP500
LKQ,Consumer Discretionary,common_stock,SP500
LULU,Consumer Discretionary,common_stock,NASDAQ100
MGM,Consumer Discretionary,common_stock,SP500
PHM,Consumer Discretionary,common_stock,SP500
POOL,Consumer Discretionary,common_stock,SP500
RL,Consumer Discretionary,common_stock,SP500
TPR,Consumer Discretionary,common_stock,SP500
TSCO,Consumer Discretionary,common_stock,SP500_AND_NASDAQ100
ULTA,Consumer Discretionary,common_stock,SP500_AND_NASDAQ100
WYNN,Consumer Discretionary,common_stock,SP500
ADM,Consumer Staples,common_stock,SP500
BF.B,Consumer Staples,common_stock,SP500
BG,Consumer Staples,common_stock,SP500
CAG,Consumer Staples,common_stock,SP500
CHD,Consumer Staples,common_stock,SP500
CLX,Consumer Staples,common_stock,SP500
CPB,Consumer Staples,common_stock,SP500
DG,Consumer Staples,common_stock,SP500
DLTR,Consumer Staples,common_stock,SP500_AND_NASDAQ100
EL,Consumer Staples,common_stock,SP500
HRL,Consumer Staples,common_stock,SP500
HSY,Consumer Staples,common_stock,SP500
KR,Consumer Staples,common_stock,SP500
LW,Consumer Staples,common_stock,SP500
MKC,Consumer Staples,common_stock,SP500
MNST,Consumer Staples,common_stock,SP500_AND_NASDAQ100
SJM,Consumer Staples,common_stock,SP500
TAP,Consumer Staples,common_stock,SP500
TSN,Consumer Staples,common_stock,SP500
ACGL,Financials,common_stock,SP500_AND_NASDAQ100
AIG,Financials,common_stock,SP500
AJG,Financials,common_stock,SP500
ALL,Financials,common_stock,SP500
AMP,Financials,common_stock,SP500
BK,Financials,common_stock,SP500
BRO,Financials,common_stock,SP500
CINF,Financials,common_stock,SP500
CME,Financials,common_stock,SP500_AND_NASDAQ100
COF,Financials,common_stock,SP500
FDS,Financials,common_stock,SP500
FITB,Financials,common_stock,SP500
GPN,Financials,common_stock,SP500
HBAN,Financials,common_stock,SP500
HIG,Financials,common_stock,SP500
IVZ,Financials,common_stock,SP500
KEY,Financials,common_stock,SP500
L,Financials,common_stock,SP500
MCO,Financials,common_stock,SP500
MTB,Financials,common_stock,SP500
NDAQ,Financials,common_stock,SP500
NTRS,Financials,common_stock,SP500
RF,Financials,common_stock,SP500
RJF,Financials,common_stock,SP500
SYF,Financials,common_stock,SP500
TRV,Financials,common_stock,SP500
WRB,Financials,common_stock,SP500
WTW,Financials,common_stock,SP500
ZION,Financials,common_stock,SP500
A,Health Care,common_stock,SP500
ALGN,Health Care,common_stock,SP500_AND_NASDAQ100
BAX,Health Care,common_stock,SP500
BDX,Health Care,common_stock,SP500
BIIB,Health Care,common_stock,SP500_AND_NASDAQ100
BMY,Health Care,common_stock,SP500
CAH,Health Care,common_stock,SP500
CNC,Health Care,common_stock,SP500
COO,Health Care,common_stock,SP500
COR,Health Care,common_stock,SP500
CVS,Health Care,common_stock,SP500
DGX,Health Care,common_stock,SP500
DXCM,Health Care,common_stock,SP500_AND_NASDAQ100
EW,Health Care,common_stock,SP500
GEHC,Health Care,common_stock,SP500_AND_NASDAQ100
HOLX,Health Care,common_stock,SP500_AND_NASDAQ100
HSIC,Health Care,common_stock,SP500
HUM,Health Care,common_stock,SP500
IDXX,Health Care,common_stock,SP500_AND_NASDAQ100
IQV,Health Care,common_stock,SP500
LH,Health Care,common_stock,SP500
MCK,Health Care,common_stock,SP500
MOH,Health Care,common_stock,SP500
PODD,Health Care,common_stock,SP500_AND_NASDAQ100
RMD,Health Care,common_stock,SP500
STE,Health Care,common_stock,SP500
TECH,Health Care,common_stock,SP500
UHS,Health Care,common_stock,SP500
WAT,Health Care,common_stock,SP500
WST,Health Care,common_stock,SP500
ZBH,Health Care,common_stock,SP500
ALLE,Industrials,common_stock,SP500
AME,Industrials,common_stock,SP500
AOS,Industrials,common_stock,SP500
AXON,Industrials,common_stock,SP500_AND_NASDAQ100
BLDR,Industrials,common_stock,SP500
CARR,Industrials,common_stock,SP500
CHRW,Industrials,common_stock,SP500
CMI,Industrials,common_stock,SP500
CPRT,Industrials,common_stock,SP500_AND_NASDAQ100
CTAS,Industrials,common_stock,SP500_AND_NASDAQ100
DAY,Industrials,common_stock,SP500
DOV,Industrials,common_stock,SP500
EFX,Industrials,common_stock,SP500
FAST,Industrials,common_stock,SP500_AND_NASDAQ100
FTV,Industrials,common_stock,SP500
GEV,Industrials,common_stock,SP500
GWW,Industrials,common_stock,SP500
HII,Industrials,common_stock,SP500
HUBB,Industrials,common_stock,SP500
IEX,Industrials,common_stock,SP500
IR,Industrials,common_stock,SP500
JBHT,Industrials,common_stock,SP500_AND_NASDAQ100
JCI,Industrials,common_stock,SP500
LDOS,Industrials,common_stock,SP500
MAS,Industrials,common_stock,SP500
MMM,Industrials,common_stock,SP500
OTIS,Industrials,common_stock,SP500
PCAR,Industrials,common_stock,SP500_AND_NASDAQ100
PWR,Industrials,common_stock,SP500
ROK,Industrials,common_stock,SP500
ROL,Industrials,common_stock,SP500
SWK,Industrials,common_stock,SP500
TDG,Industrials,common_stock,SP500
TT,Industrials,common_stock,SP500
TXT,Industrials,common_stock,SP500
UAL,Industrials,common_stock,SP500
URI,Industrials,common_stock,SP500
VLTO,Industrials,common_stock,SP500
WAB,Industrials,common_stock,SP500
XYL,Industrials,common_stock,SP500
APA,Energy,common_stock,SP500
BKR,Energy,common_stock,SP500
CTRA,Energy,common_stock,SP500
DVN,Energy,common_stock,SP500
EQT,Energy,common_stock,SP500
FANG,Energy,common_stock,SP500_AND_NASDAQ100
HAL,Energy,common_stock,SP500
KMI,Energy,common_stock,SP500
OKE,Energy,common_stock,SP500
TRGP,Energy,common_stock,SP500
ALB,Materials,common_stock,SP500
AMCR,Materials,common_stock,SP500
AVY,Materials,common_stock,SP500
BALL,Materials,common_stock,SP500
CF,Materials,common_stock,SP500
CTVA,Materials,common_stock,SP500
DD,Materials,common_stock,SP500
EMN,Materials,common_stock,SP500
FMC,Materials,common_stock,SP500
IFF,Materials,common_stock,SP500
IP,Materials,common_stock,SP500
MLM,Materials,common_stock,SP500
MOS,Materials,common_stock,SP500
PKG,Materials,common_stock,SP500
STLD,Materials,common_stock,SP500
SW,Materials,common_stock,SP500
ARE,Real Estate,common_stock,SP500
AVB,Real Estate,common_stock,SP500
BXP,Real Estate,common_stock,SP500
CBRE,Real Estate,common_stock,SP500
CPT,Real Estate,common_stock,SP500
CSGP,Real Estate,common_stock,SP500_AND_NASDAQ100
DOC,Real Estate,common_stock,SP500
EQR,Real Estate,common_stock,SP500
ESS,Real Estate,common_stock,SP500
EXR,Real Estate,common_stock,SP500
FRT,Real Estate,common_stock,SP500
HST,Real Estate,common_stock,SP500
INVH,Real Estate,common_stock,SP500
IRM,Real Estate,common_stock,SP500
KIM,Real Estate,common_stock,SP500
MAA,Real Estate,common_stock,SP500
REG,Real Estate,common_stock,SP500
SBAC,Real Estate,common_stock,SP500
UDR,Real Estate,common_stock,SP500
VICI,Real Estate,common_stock,SP500
WY,Real Estate,common_stock,SP500
AES,Utilities,common_stock,SP500
AEE,Utilities,common_stock,SP500
ATO,Utilities,common_stock,SP500
AWK,Utilities,common_stock,SP500
CEG,Utilities,common_stock,SP500_AND_NASDAQ100
CMS,Utilities,common_stock,SP500
CNP,Utilities,common_stock,SP500
EIX,Utilities,common_stock,SP500
ETR,Utilities,common_stock,SP500
EVRG,Utilities,common_stock,SP500
FE,Utilities,common_stock,SP500
LNT,Utilities,common_stock,SP500
NI,Utilities,common_stock,SP500
NRG,Utilities,common_stock,SP500
PCG,Utilities,common_stock,SP500
PEG,Utilities,common_stock,SP500
PNW,Utilities,common_stock,SP500
PPL,Utilities,common_stock,SP500
VST,Utilities,common_stock,SP500
SPY,Unknown,etf,BENCHMARK
QQQ,Unknown,etf,BENCHMARK
IWM,Unknown,etf,BENCHMARK
DIA,Unknown,etf,BENCHMARK
VTI,Unknown,etf,BENCHMARK
VOO,Unknown,etf,BENCHMARK
XLK,Unknown,etf,SECTOR_BENCHMARK
XLC,Unknown,etf,SECTOR_BENCHMARK
XLY,Unknown,etf,SECTOR_BENCHMARK
XLP,Unknown,etf,SECTOR_BENCHMARK
XLF,Unknown,etf,SECTOR_BENCHMARK
XLV,Unknown,etf,SECTOR_BENCHMARK
XLI,Unknown,etf,SECTOR_BENCHMARK
XLE,Unknown,etf,SECTOR_BENCHMARK
XLB,Unknown,etf,SECTOR_BENCHMARK
XLRE,Unknown,etf,SECTOR_BENCHMARK
XLU,Unknown,etf,SECTOR_BENCHMARK
